__url,shop_id,shop_name,shop_categories,shop_rank,latitude,longitude,shop_spend,shop_scores,shop_comment_num,tags
"http://www.dianping.com/shop/5606377","5606377","义面屋(南京西路店)","[""上海餐厅"",""南京西路"",""西餐"",""意大利菜""]","准五星商户","31.230187","121.460806","79元","[{""score"":""8.6"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","7133","[{""tag"":""回头客"",""count"":""381""},{""tag"":""干净卫生"",""count"":""194""},{""tag"":""上菜快"",""count"":""53""},{""tag"":""非活动评论"",""count"":""7413""},{""tag"":""工作餐"",""count"":""288""},{""tag"":""下午茶"",""count"":""101""},{""tag"":""朋友聚餐"",""count"":""89""},{""tag"":""文艺清新"",""count"":""48""},{""tag"":""年会"",""count"":""22""},{""tag"":""现做现卖"",""count"":""16""}]",
"http://www.dianping.com/shop/5449042","5449042","西贝莜面村(上海百联西郊店)","[""上海餐厅"",""北新泾"",""西北菜""]","五星商户","31.20855","121.37098","82元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""9.1"",""score_title"":""服务""}]","5178","[{""tag"":""回头客"",""count"":""462""},{""tag"":""上菜快"",""count"":""189""},{""tag"":""干净卫生"",""count"":""128""},{""tag"":""冬天吃过瘾"",""count"":""3""},{""tag"":""朋友聚餐"",""count"":""48""},{""tag"":""请客"",""count"":""31""},{""tag"":""家庭聚餐"",""count"":""29""},{""tag"":""公司聚餐"",""count"":""18""},{""tag"":""工作餐"",""count"":""10""}]",
"http://www.dianping.com/shop/20889050","20889050","花隐日式怀石料理(上海南丰城店)","[""上海餐厅"",""虹桥"",""日本菜"",""日本料理""]","五星商户","31.20751","121.40723","349元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""9.2"",""score_title"":""环境""},{""score"":""9.2"",""score_title"":""服务""}]","7522","[{""tag"":""回头客"",""count"":""318""},{""tag"":""干净卫生"",""count"":""39""},{""tag"":""牛肉赞"",""count"":""138""},{""tag"":""高大上"",""count"":""128""},{""tag"":""海鲜棒"",""count"":""39""},{""tag"":""菜品不错"",""count"":""1115""},{""tag"":""朋友聚餐"",""count"":""114""},{""tag"":""请客"",""count"":""71""},{""tag"":""家庭聚餐"",""count"":""57""},{""tag"":""公司聚餐"",""count"":""19""}]",
"http://www.dianping.com/shop/66756779","66756779","星洲海南鸡饭(古北路店)","[""上海餐厅"",""虹桥"",""东南亚菜"",""新加坡菜""]","准五星商户","31.21069","121.400752","67元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.5"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","1762","[{""tag"":""回头客"",""count"":""78""},{""tag"":""干净卫生"",""count"":""122""},{""tag"":""上菜快"",""count"":""20""},{""tag"":""冬天吃过瘾"",""count"":""3""},{""tag"":""肉类好"",""count"":""130""},{""tag"":""主食赞"",""count"":""68""},{""tag"":""饮品赞"",""count"":""32""},{""tag"":""工作餐"",""count"":""14""},{""tag"":""文艺清新"",""count"":""11""},{""tag"":""下午茶"",""count"":""6""}]",
"http://www.dianping.com/shop/32423571","32423571","十六道牛味潮汕牛肉火锅(虹桥店)","[""上海餐厅"",""虹桥"",""火锅""]","准五星商户","31.198864","121.41452","110元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.8"",""score_title"":""服务""}]","3179","[{""tag"":""回头客"",""count"":""99""},{""tag"":""上菜快"",""count"":""54""},{""tag"":""干净卫生"",""count"":""143""},{""tag"":""牛肉赞"",""count"":""385""},{""tag"":""味道赞"",""count"":""597""},{""tag"":""朋友聚餐"",""count"":""47""},{""tag"":""深夜食堂"",""count"":""30""},{""tag"":""弄堂小店"",""count"":""17""},{""tag"":""家庭聚餐"",""count"":""11""}]",
"http://www.dianping.com/shop/69755329","69755329","蟹先生和渔小姐海鲜自助(龙之梦购物中心店)","[""上海餐厅"",""中山公园"",""自助餐""]","四星商户","31.218876","121.416605","183元","[{""score"":""8.2"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","1606","[{""tag"":""菜品健康"",""count"":""66""},{""tag"":""回头客"",""count"":""47""},{""tag"":""干净卫生"",""count"":""71""},{""tag"":""海鲜棒"",""count"":""58""},{""tag"":""点心好"",""count"":""49""},{""tag"":""高大上"",""count"":""5""},{""tag"":""环境优雅"",""count"":""169""},{""tag"":""朋友聚餐"",""count"":""17""},{""tag"":""家庭聚餐"",""count"":""9""}]",
"http://www.dianping.com/shop/66886490","66886490","THE CANNERY","[""上海餐厅"",""中山公园"",""西餐""]","准五星商户","31.218501","121.428336","371元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""9.1"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","617","[{""tag"":""回头客"",""count"":""14""},{""tag"":""歪果仁出没"",""count"":""7""},{""tag"":""干净卫生"",""count"":""7""},{""tag"":""牛肉赞"",""count"":""31""},{""tag"":""海鲜棒"",""count"":""10""},{""tag"":""高大上"",""count"":""19""},{""tag"":""点心好"",""count"":""16""},{""tag"":""菜品不错"",""count"":""53""},{""tag"":""味道赞"",""count"":""92""},{""tag"":""下午茶"",""count"":""9""}]",
"http://www.dianping.com/shop/5575882","5575882","西贝莜面村(上海中山公园店)","[""上海餐厅"",""中山公园"",""西北菜""]","准五星商户","31.21885","121.417032","87元","[{""score"":""8.6"",""score_title"":""口味""},{""score"":""8.7"",""score_title"":""环境""},{""score"":""8.7"",""score_title"":""服务""}]","12696","[{""tag"":""回头客"",""count"":""874""},{""tag"":""上菜快"",""count"":""363""},{""tag"":""干净卫生"",""count"":""276""},{""tag"":""朋友聚餐"",""count"":""157""},{""tag"":""请客"",""count"":""73""},{""tag"":""家庭聚餐"",""count"":""38""},{""tag"":""公司聚餐"",""count"":""37""},{""tag"":""工作餐"",""count"":""24""},{""tag"":""文艺清新"",""count"":""19""},{""tag"":""现做现卖"",""count"":""16""}]",
"http://www.dianping.com/shop/67306938","67306938","聚酒锅","[""上海餐厅"",""天山"",""火锅""]","五星商户","31.208484","121.402967","557元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""9.3"",""score_title"":""环境""},{""score"":""8.9"",""score_title"":""服务""}]","246","[{""tag"":""回头客"",""count"":""8""},{""tag"":""干净卫生"",""count"":""24""},{""tag"":""海鲜棒"",""count"":""11""},{""tag"":""高大上"",""count"":""30""},{""tag"":""牛肉赞"",""count"":""12""},{""tag"":""菜品不错"",""count"":""30""},{""tag"":""味道赞"",""count"":""38""},{""tag"":""环境优雅"",""count"":""49""},{""tag"":""服务热情"",""count"":""66""},{""tag"":""工作餐"",""count"":""6""}]",
"http://www.dianping.com/shop/90025940","90025940","Miss Mustache","[""上海餐厅"",""南京西路"",""西餐""]","准五星商户","31.22781","121.45929","149元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","112","[{""tag"":""回头客"",""count"":""3""},{""tag"":""海鲜棒"",""count"":""4""},{""tag"":""牛肉赞"",""count"":""5""},{""tag"":""味道赞"",""count"":""32""},{""tag"":""菜品不错"",""count"":""8""},{""tag"":""环境优雅"",""count"":""13""},{""tag"":""价格实惠"",""count"":""13""},{""tag"":""性价比高"",""count"":""11""},{""tag"":""服务热情"",""count"":""11""}]",
