爬取链接(__url),商户ID(shop_id),商户名(shop_name),商户分类(shop_categories),纬度（腾讯地图）(latitude),经度（腾讯地图）(longitude),人均消费(shop_spend),评分(shop_scores),评论数(shop_comment_num),大家认为(tags),
"http://www.dianping.com/shop/500792","500792","枣子树(淮海中路店)","[""上海餐厅"",""新天地"",""素菜""]","31.223061","121.476075","104元","[{""score"":""7.4"",""score_title"":""口味""},{""score"":""7.2"",""score_title"":""环境""},{""score"":""7.3"",""score_title"":""服务""}]","7630","[{""tag"":""菜品健康"",""count"":""1242""},{""tag"":""回头客"",""count"":""342""},{""tag"":""上菜快"",""count"":""93""},{""tag"":""干净卫生"",""count"":""202""},{""tag"":""歪果仁出没"",""count"":""11""},{""tag"":""工作餐"",""count"":""185""},{""tag"":""朋友聚餐"",""count"":""142""},{""tag"":""请客"",""count"":""127""},{""tag"":""弄堂小店"",""count"":""34""}]",
"http://www.dianping.com/shop/76979198","76979198","有时（ATime）茶馆(A Time)","[""上海休闲娱乐"",""瑞金宾馆区"",""茶馆""]","31.209069","121.466415","127元","[]","63","[]",
"http://www.dianping.com/shop/22681249","22681249","C’est Zhazha面包小酒馆(soho复兴广场店)","[""上海餐厅"",""新天地"",""西餐""]","31.21543","121.47432","78元","[{""score"":""8.6"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","1062","[{""tag"":""回头客"",""count"":""49""},{""tag"":""干净卫生"",""count"":""16""},{""tag"":""菜品健康"",""count"":""8""},{""tag"":""点心好"",""count"":""94""},{""tag"":""肉类好"",""count"":""16""},{""tag"":""下午茶"",""count"":""139""},{""tag"":""Brunch"",""count"":""40""},{""tag"":""现做现卖"",""count"":""15""},{""tag"":""文艺清新"",""count"":""13""}]",
"http://www.dianping.com/shop/27511953","27511953","烧肉奇侠","[""上海餐厅"",""淮海路"",""日本菜"",""日式烧烤/铁板烧""]","31.218532","121.461565","173元","[{""score"":""8.5"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""7.9"",""score_title"":""服务""}]","1890","[{""tag"":""回头客"",""count"":""50""},{""tag"":""上菜快"",""count"":""9""},{""tag"":""干净卫生"",""count"":""27""},{""tag"":""牛肉赞"",""count"":""88""},{""tag"":""海鲜棒"",""count"":""12""},{""tag"":""味道赞"",""count"":""374""},{""tag"":""菜品不错"",""count"":""97""},{""tag"":""高大上"",""count"":""5""},{""tag"":""弄堂小店"",""count"":""217""},{""tag"":""朋友聚餐"",""count"":""24""}]",
"http://www.dianping.com/shop/32564420","32564420","Chikalicious","[""上海餐厅"",""新天地"",""面包甜点""]","31.219267","121.475223","211元","[{""score"":""8.2"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""8.0"",""score_title"":""服务""}]","2312","[{""tag"":""回头客"",""count"":""57""},{""tag"":""干净卫生"",""count"":""19""},{""tag"":""高大上"",""count"":""119""},{""tag"":""点心好"",""count"":""232""},{""tag"":""味道赞"",""count"":""378""},{""tag"":""服务热情"",""count"":""290""},{""tag"":""下午茶"",""count"":""315""},{""tag"":""文艺清新"",""count"":""61""},{""tag"":""现做现卖"",""count"":""21""},{""tag"":""朋友聚餐"",""count"":""18""}]",
"http://www.dianping.com/shop/22070975","22070975","西堤厚牛排(上海日月光店)","[""上海餐厅"",""打浦桥"",""西餐"",""牛排""]","31.206414","121.468229","161元","[{""score"":""8.4"",""score_title"":""口味""},{""score"":""8.7"",""score_title"":""环境""},{""score"":""8.6"",""score_title"":""服务""}]","3915","[{""tag"":""回头客"",""count"":""295""},{""tag"":""上菜快"",""count"":""47""},{""tag"":""干净卫生"",""count"":""53""},{""tag"":""牛肉赞"",""count"":""297""},{""tag"":""海鲜棒"",""count"":""6""},{""tag"":""点心好"",""count"":""111""},{""tag"":""高大上"",""count"":""16""},{""tag"":""朋友聚餐"",""count"":""41""},{""tag"":""家庭聚餐"",""count"":""17""},{""tag"":""工作餐"",""count"":""14""}]",
"http://www.dianping.com/shop/2449261","2449261","顺风大酒店(金玉兰店)","[""上海餐厅"",""打浦桥"",""本帮江浙菜""]","31.204935","121.470766","137元","[{""score"":""8.2"",""score_title"":""口味""},{""score"":""7.5"",""score_title"":""环境""},{""score"":""7.2"",""score_title"":""服务""}]","4250","[{""tag"":""回头客"",""count"":""327""},{""tag"":""干净卫生"",""count"":""83""},{""tag"":""肉类好"",""count"":""169""},{""tag"":""海鲜棒"",""count"":""11""},{""tag"":""请客"",""count"":""290""},{""tag"":""家庭聚餐"",""count"":""221""},{""tag"":""下午茶"",""count"":""151""},{""tag"":""朋友聚餐"",""count"":""57""},{""tag"":""公司聚餐"",""count"":""47""},{""tag"":""年会"",""count"":""20""}]",
"http://www.dianping.com/shop/67199568","67199568","柏玥轩","[""上海餐厅"",""新天地"",""粤菜"",""粤菜馆""]","31.220865","121.478645","256元","[{""score"":""8.4"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.7"",""score_title"":""服务""}]","250","[{""tag"":""回头客"",""count"":""7""},{""tag"":""干净卫生"",""count"":""6""},{""tag"":""高大上"",""count"":""11""},{""tag"":""海鲜棒"",""count"":""3""},{""tag"":""肉类好"",""count"":""26""},{""tag"":""点心好"",""count"":""18""},{""tag"":""菜品不错"",""count"":""29""},{""tag"":""味道赞"",""count"":""68""},{""tag"":""服务热情"",""count"":""58""},{""tag"":""环境优雅"",""count"":""19""}]",
"http://www.dianping.com/shop/22973216","22973216","兔当家(日月光中心广场店)","[""上海餐厅"",""打浦桥"",""川菜"",""川菜/家常菜""]","31.2063","121.46848","86元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.5"",""score_title"":""环境""},{""score"":""8.5"",""score_title"":""服务""}]","3474","[{""tag"":""回头客"",""count"":""144""},{""tag"":""上菜快"",""count"":""26""},{""tag"":""撸串圣地"",""count"":""11""},{""tag"":""干净卫生"",""count"":""41""},{""tag"":""有萌宠"",""count"":""4""},{""tag"":""肉类好"",""count"":""150""},{""tag"":""饮品赞"",""count"":""50""},{""tag"":""朋友聚餐"",""count"":""24""},{""tag"":""深夜食堂"",""count"":""17""},{""tag"":""文艺清新"",""count"":""8""}]",
"http://www.dianping.com/shop/17802146","17802146","1点点(福州店)","[""上海餐厅"",""人民广场"",""面包甜点"",""饮品""]","31.23243","121.47902","14元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""7.9"",""score_title"":""环境""},{""score"":""8.1"",""score_title"":""服务""}]","651","[{""tag"":""回头客"",""count"":""24""},{""tag"":""上菜快"",""count"":""7""},{""tag"":""干净卫生"",""count"":""7""},{""tag"":""饮品赞"",""count"":""56""},{""tag"":""味道赞"",""count"":""72""},{""tag"":""服务热情"",""count"":""81""},{""tag"":""网红店"",""count"":""13""},{""tag"":""性价比高"",""count"":""7""},{""tag"":""环境优雅"",""count"":""4""},{""tag"":""情侣约会"",""count"":""3""}]",
